,0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,-0.0013890609063571535
2021-12-24,-0.00521275648624997
2021-12-27,0.0043814253851282015
2021-12-28,0.003850766821791529
2021-12-29,0.0012306391485572554
2021-12-30,0.010603043533639944
2021-12-31,0.005840111746710841
2022-01-04,0.009076493598317414
2022-01-05,-0.012465215332785662
2022-01-06,0.003355196844335495
2022-01-07,-0.012083879786317198
2022-01-10,0.004935269612098114
2022-01-11,-0.007284059819947841
2022-01-12,0.010267606988578981
2022-01-13,-0.01051941538816592
2022-01-14,0.00013405569296964792
2022-01-17,0.008416775520964315
2022-01-18,-0.007553371249540475
2022-01-19,-0.0009471646554884972
2022-01-20,-0.015521712437549073
2022-01-21,-0.012442827193061334
2022-01-24,-0.0045766354359529915
2022-01-25,-0.03303297790521753
2022-01-26,0.005894970866410443
2022-01-27,-0.021740200497838646
2022-01-28,0.0070923662936608345
2022-02-07,0.012441544448358322
2022-02-08,0.009093187135105207
2022-02-09,0.005862944406731518
2022-02-10,-0.005885039463908059
2022-02-11,-0.015154708364813474
2022-02-14,-0.005569993266518303
2022-02-15,0.008723945426838409
2022-02-16,0.009419969971553588
2022-02-17,-0.0006509213862160301
2022-02-18,0.004917090853221451
2022-02-21,0.004590058392123009
2022-02-22,-0.00843087121368169
2022-02-23,0.004724418988576007
2022-02-24,-0.02021217121986507
2022-02-25,0.007952242701310563
2022-02-28,0.0029527580455512847
2022-03-01,0.002385425530656793
2022-03-02,0.007018412837807242
2022-03-03,0.00820329455393387
2022-03-04,-0.012715701420146885
2022-03-07,-0.014047038603325013
2022-03-08,-0.029546973731510717
2022-03-09,-0.015518599839547065
2022-03-10,0.011893685145091926
2022-03-11,0.004748350825951819
2022-03-14,-0.026235167500543888
2022-03-15,-0.050742650498321495
2022-03-16,0.023285885142699803
2022-03-17,0.015245472490377221
2022-03-18,0.00983103963843912
2022-03-21,0.006616769902917152
2022-03-22,0.0038863205231634
2022-03-23,-0.0009083310413015022
2022-03-24,-0.011226210854989982
2022-03-25,-0.0005842247278650126
2022-03-28,0.0019121144458522643
2022-03-29,-0.007687743471572084
2022-03-30,0.015725787280911563
2022-03-31,0.0013247501780622173
2022-04-01,0.008576609313923678
2022-04-06,0.00960683612574087
2022-04-07,-0.022361851007380196
2022-04-08,-2.237709716623737e-05
2022-04-11,-0.024235452427866844
2022-04-12,0.014157018338151639
2022-04-13,-0.014895199702241402
2022-04-14,0.006626366976623332
2022-04-15,-0.009940838715836842
2022-04-18,0.004620615177387988
2022-04-19,0.003336651644674893
2022-04-20,-0.010695244852569674
2022-04-21,-0.0313787667509946
2022-04-22,0.0046199375291677836
2022-04-25,-0.06147079219488594
2022-04-26,-0.03222825258340267
2022-04-27,0.0185902126535189
2022-04-28,-0.00732409160494274
2022-04-29,0.03584232472524218
2022-05-05,0.01768815365776799
2022-05-06,-0.010115705272104814
2022-05-09,0.0119871481266558
2022-05-10,0.009980528921202492
2022-05-11,0.000712337890127035
2022-05-12,0.00647866745704051
2022-05-13,0.008822026374367908
2022-05-16,-0.00020747785212649195
2022-05-17,-0.002452016711120164
2022-05-18,0.002652405803300395
2022-05-19,0.000815826135915021
2022-05-20,0.010973546196302308
2022-05-23,0.008052433050592667
2022-05-24,-0.036468555914698664
2022-05-25,0.01735451856439707
2022-05-26,0.006413380883157904
2022-05-27,-0.000520066625226967
2022-05-30,0.012946804940616508
2022-05-31,0.009491333997959428
2022-06-01,0.007732016752201476
2022-06-02,0.013949908453783966
2022-06-06,0.008925056188711533
2022-06-07,-0.004528988034414372
2022-06-08,-5.054007987104203e-05
2022-06-09,-0.012742893338714367
2022-06-10,0.018989737176402732
2022-06-13,0.002010479180021507
2022-06-14,0.004952434399295047
2022-06-15,-0.005621502391387478
2022-06-16,0.0038386415774696037
2022-06-17,0.009321283696708482
2022-06-20,0.011152096919921028
2022-06-21,-0.008847643700368724
2022-06-22,-0.005908625688338054
2022-06-23,0.018520537353567956
2022-06-24,0.009501088086258935
2022-06-27,0.008810487682267887
2022-06-28,0.007314099813264807
2022-06-29,-0.02467567845552454
2022-06-30,0.006007656600050204
2022-07-01,0.0035193123963943584
2022-07-04,0.01070598340717388
2022-07-05,-0.006817365765316441
2022-07-06,-0.005986761763069226
2022-07-07,0.0069880528082759685
2022-07-08,-0.0022542050243626877
2022-07-11,-0.002974074001125815
2022-07-12,-0.0092918625639411
2022-07-13,0.008079404517552735
2022-07-14,0.0074460698340184095
2022-07-15,-0.006650363623977196
2022-07-18,0.020834546482143557
2022-07-19,0.005154773590337669
2022-07-20,0.006902772090783049
2022-07-21,-0.0025165943494676046
2022-07-22,0.0027951303200950406
2022-07-25,-0.012511941987029207
2022-07-26,0.008151947939412096
2022-07-27,0.007209132694693476
2022-07-28,0.005326669841374088
2022-07-29,-0.0033543107066071887
2022-08-01,0.003601964401860558
2022-08-02,-0.031891482249077674
2022-08-03,-0.009233326992207802
2022-08-04,0.007758713464129485
2022-08-05,0.006117294857943323
2022-08-08,0.010291140549548494
2022-08-09,0.003033808262919324
2022-08-10,0.005271651036729663
2022-08-11,0.01505790044250066
2022-08-12,-0.005156173865718983
2022-08-15,0.0020824446062848168
2022-08-16,0.007537625264900871
2022-08-17,0.0020548417527297413
2022-08-18,0.0032923976487193585
2022-08-19,-0.008474965097269305
2022-08-22,0.00414447317122546
2022-08-23,-0.00308713127928939
2022-08-24,-0.016008431259633693
2022-08-25,0.006375623819133258
2022-08-26,0.0020630236126488732
2022-08-29,0.004863595631661166
