trade_date,sec_code,weight
2015-01-22,000012.SZ,0.010638297872340425
2015-01-22,000488.SZ,0.010638297872340425
2015-01-22,000539.SZ,0.010638297872340425
2015-01-22,000550.SZ,0.010638297872340425
2015-01-22,000568.SZ,0.010638297872340425
2015-01-22,000679.SZ,0.010638297872340425
2015-01-22,000690.SZ,0.010638297872340425
2015-01-22,000726.SZ,0.010638297872340425
2015-01-22,000828.SZ,0.010638297872340425
2015-01-22,000869.SZ,0.010638297872340425
2015-01-22,000885.SZ,0.010638297872340425
2015-01-22,000895.SZ,0.010638297872340425
2015-01-22,000916.SZ,0.010638297872340425
2015-01-22,000981.SZ,0.010638297872340425
2015-01-22,002003.SZ,0.010638297872340425
2015-01-22,002014.SZ,0.010638297872340425
2015-01-22,002032.SZ,0.010638297872340425
2015-01-22,002158.SZ,0.010638297872340425
2015-01-22,002187.SZ,0.010638297872340425
2015-01-22,002226.SZ,0.010638297872340425
2015-01-22,002242.SZ,0.010638297872340425
2015-01-22,002251.SZ,0.010638297872340425
2015-01-22,002252.SZ,0.010638297872340425
2015-01-22,002267.SZ,0.010638297872340425
2015-01-22,002269.SZ,0.010638297872340425
2015-01-22,002275.SZ,0.010638297872340425
2015-01-22,002419.SZ,0.010638297872340425
2015-01-22,002489.SZ,0.010638297872340425
2015-01-22,002612.SZ,0.010638297872340425
2015-01-22,002619.SZ,0.010638297872340425
2015-01-22,002626.SZ,0.010638297872340425
2015-01-22,002631.SZ,0.010638297872340425
2015-01-22,002650.SZ,0.010638297872340425
2015-01-22,002651.SZ,0.010638297872340425
2015-01-22,300091.SZ,0.010638297872340425
2015-01-22,300164.SZ,0.010638297872340425
2015-01-22,300202.SZ,0.010638297872340425
2015-01-22,300261.SZ,0.010638297872340425
2015-01-22,300316.SZ,0.010638297872340425
2015-01-22,300347.SZ,0.010638297872340425
2015-01-22,600004.SH,0.010638297872340425
2015-01-22,600007.SH,0.010638297872340425
2015-01-22,600011.SH,0.010638297872340425
2015-01-22,600012.SH,0.010638297872340425
2015-01-22,600033.SH,0.010638297872340425
2015-01-22,600094.SH,0.010638297872340425
2015-01-22,600098.SH,0.010638297872340425
2015-01-22,600132.SH,0.010638297872340425
2015-01-22,600153.SH,0.010638297872340425
2015-01-22,600160.SH,0.010638297872340425
2015-01-22,600167.SH,0.010638297872340425
2015-01-22,600177.SH,0.010638297872340425
2015-01-22,600182.SH,0.010638297872340425
2015-01-22,600183.SH,0.010638297872340425
2015-01-22,600240.SH,0.010638297872340425
2015-01-22,600288.SH,0.010638297872340425
2015-01-22,600291.SH,0.010638297872340425
2015-01-22,600295.SH,0.010638297872340425
2015-01-22,600350.SH,0.010638297872340425
2015-01-22,600375.SH,0.010638297872340425
2015-01-22,600377.SH,0.010638297872340425
2015-01-22,600378.SH,0.010638297872340425
2015-01-22,600386.SH,0.010638297872340425
2015-01-22,600397.SH,0.010638297872340425
2015-01-22,600403.SH,0.010638297872340425
2015-01-22,600481.SH,0.010638297872340425
2015-01-22,600509.SH,0.010638297872340425
2015-01-22,600510.SH,0.010638297872340425
2015-01-22,600533.SH,0.010638297872340425
2015-01-22,600548.SH,0.010638297872340425
2015-01-22,600612.SH,0.010638297872340425
2015-01-22,600642.SH,0.010638297872340425
2015-01-22,600660.SH,0.010638297872340425
2015-01-22,600694.SH,0.010638297872340425
2015-01-22,600724.SH,0.010638297872340425
2015-01-22,600741.SH,0.010638297872340425
2015-01-22,600743.SH,0.010638297872340425
2015-01-22,600780.SH,0.010638297872340425
2015-01-22,600790.SH,0.010638297872340425
2015-01-22,600809.SH,0.010638297872340425
2015-01-22,600834.SH,0.010638297872340425
2015-01-22,600863.SH,0.010638297872340425
2015-01-22,600882.SH,0.010638297872340425
2015-01-22,600986.SH,0.010638297872340425
2015-01-22,601003.SH,0.010638297872340425
2015-01-22,601010.SH,0.010638297872340425
2015-01-22,601100.SH,0.010638297872340425
2015-01-22,601107.SH,0.010638297872340425
2015-01-22,601116.SH,0.010638297872340425
2015-01-22,601139.SH,0.010638297872340425
2015-01-22,601158.SH,0.010638297872340425
2015-01-22,601369.SH,0.010638297872340425
2015-01-22,601566.SH,0.010638297872340425
2015-01-22,601877.SH,0.010638297872340425
trade_date,sec_code,weight
2015-02-25,000006.SZ,0.010416666666666666
2015-02-25,000011.SZ,0.010416666666666666
2015-02-25,000012.SZ,0.010416666666666666
2015-02-25,000029.SZ,0.010416666666666666
2015-02-25,000043.SZ,0.010416666666666666
2015-02-25,000402.SZ,0.010416666666666666
2015-02-25,000418.SZ,0.010416666666666666
2015-02-25,000488.SZ,0.010416666666666666
2015-02-25,000513.SZ,0.010416666666666666
2015-02-25,000528.SZ,0.010416666666666666
2015-02-25,000531.SZ,0.010416666666666666
2015-02-25,000533.SZ,0.010416666666666666
2015-02-25,000534.SZ,0.010416666666666666
2015-02-25,000539.SZ,0.010416666666666666
2015-02-25,000543.SZ,0.010416666666666666
2015-02-25,000550.SZ,0.010416666666666666
2015-02-25,000679.SZ,0.010416666666666666
2015-02-25,000690.SZ,0.010416666666666666
2015-02-25,000708.SZ,0.010416666666666666
2015-02-25,000726.SZ,0.010416666666666666
2015-02-25,000759.SZ,0.010416666666666666
2015-02-25,000761.SZ,0.010416666666666666
2015-02-25,000798.SZ,0.010416666666666666
2015-02-25,000869.SZ,0.010416666666666666
2015-02-25,000885.SZ,0.010416666666666666
2015-02-25,000895.SZ,0.010416666666666666
2015-02-25,000916.SZ,0.010416666666666666
2015-02-25,000951.SZ,0.010416666666666666
